year,return
1949,3.24
1950,4.31
1951,6.01
1952,5.11
1953,3.57
1954,2.89
1955,3.16
1956,4.71
1957,3.96
1958,3.08
1959,2.70
1960,4.56
1961,2.93
1962,2.66
1963,3.00
1964,3.29
1965,4.10
1966,5.34
1967,3.35
1968,2.59
1969,4.81
1970,8.65
1971,6.16
1972,4.30
1973,10.18
1974,8.87
1975,4.40
1976,3.89
1977,4.14
1978,3.36
1979,5.87
1980,9.06
1981,11.26
1982,8.67
1983,5.36
1984,5.55
1985,5.19
1986,4.57
1987,3.72
1988,4.01
1989,6.59
1990,7.92
1991,8.84
1992,9.42
1993,7.49
1994,5.35
1995,4.50
1996,3.27
1997,3.22
1998,3.45
1999,2.74
2000,4.12
2001,4.38
2002,3.28
2003,2.32
2004,2.05
2005,2.09
2006,2.84
2007,3.86
2008,3.86
2009,0.72
2010,0.44
2011,0.87
2012,0.23
2013,0.09
2014,0.10
2015,-0.11
2016,-0.32
2017,-0.36
2018,-0.36
2019,-0.39
2020,-0.55
2021,-0.57
2022,-0.01
2023,3.21
2024,3.64
2025,2.18
