year,return
2025,21.60
2024,19.19
2023,24.42
2022,-17.73
2021,22.35
2020,16.50
2019,28.40
2018,-8.20
2017,23.07
2016,8.15
2015,-0.32
2014,5.50
2013,27.37
2012,16.54
2011,-5.02
2010,12.34
2009,30.79
2008,-40.33
2007,9.57
2006,20.65
2005,10.02
2004,15.25
2003,33.76
2002,-19.54
2001,-16.52
2000,-12.92
1999,25.34
1998,24.80
1997,16.23
1996,14.00
1995,21.32
1994,5.58
1993,23.13
1992,-4.66
1991,18.97
1990,-16.52
1989,17.19
1988,23.95
1987,16.76
1986,42.80
1985,41.77
1984,5.77
1983,23.28
1982,11.27
1981,-3.30
1980,27.72
1979,12.67
1978,18.22
1977,5.00
1976,14.71
1975,34.50
1974,-24.48
1973,-14.51
1972,23.55
1971,19.56
1970,-1.98
